70
1,29,0,0,0,0,0,0,0,0,0,0
2,29,0,0,0,0,0,0,0,0,0,0
3,29,0,0,0,0,0,0,0,0,0,0
4,29,0,0,0,0,0,0,0,0,0,0
5,31,0,0,0,0,0,0,0,0,0,0
6,31,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,0,0,0
8,47,0,0,0,0,0,0,0,0,0,0
9,54,0,0,0,0,0,0,0,0,0,0
10,31,0,0,0,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,0,0
12,30,32,0,0,0,0,0,0,0,0,0
13,51,1,0,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0,0,0
15,47,0,0,0,0,0,0,0,0,0,0
16,54,0,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0,0
18,47,0,0,0,0,0,0,0,0,0,0
19,54,0,0,0,0,0,0,0,0,0,0
20,30,0,0,0,0,0,0,0,0,0,0
21,30,32,0,0,0,0,0,0,0,0,0
22,38,64,0,0,0,0,0,0,0,0,0
23,32,0,0,0,0,0,0,0,0,0,0
24,30,32,0,0,0,0,0,0,0,0,0
25,31,0,0,0,0,0,0,0,0,0,0
26,30,32,0,0,0,0,0,0,0,0,0
27,54,32,0,0,0,0,0,0,0,0,0
28,30,0,0,0,0,0,0,0,0,0,0
29,30,0,0,0,0,0,0,0,0,0,0
30,30,32,0,0,0,0,0,0,0,0,0
31,38,64,0,0,0,0,0,0,0,0,0
32,32,0,0,0,0,0,0,0,0,0,0
33,30,32,0,0,0,0,0,0,0,0,0
34,38,64,0,0,0,0,0,0,0,0,0
35,32,0,0,0,0,0,0,0,0,0,0
36,31,0,0,0,0,0,0,0,0,0,0
37,47,0,0,0,0,0,0,0,0,0,0
38,54,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,0,0
40,30,32,0,0,0,0,0,0,0,0,0
41,11,32,0,0,0,0,0,0,0,0,0
42,31,0,0,0,0,0,0,0,0,0,0
43,2,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0
45,29,0,0,0,0,0,0,0,0,0,0
46,31,0,0,0,0,0,0,0,0,0,0
47,30,32,0,0,0,0,0,0,0,0,0
48,11,32,0,0,0,0,0,0,0,0,0
49,30,32,0,0,0,0,0,0,0,0,0
50,15,32,0,0,0,0,0,0,0,0,0
51,11,32,0,0,0,0,0,0,0,0,0
52,30,32,0,0,0,0,0,0,0,0,0
53,15,32,0,0,0,0,0,0,0,0,0
54,11,32,0,0,0,0,0,0,0,0,0
55,30,32,0,0,0,0,0,0,0,0,0
56,15,32,0,0,0,0,0,0,0,0,0
57,11,32,0,0,0,0,0,0,0,0,0
58,30,32,0,0,0,0,0,0,0,0,0
59,15,32,0,0,0,0,0,0,0,0,0
60,11,32,0,0,0,0,0,0,0,0,0
61,30,32,0,0,0,0,0,0,0,0,0
62,15,32,0,0,0,0,0,0,0,0,0
63,11,32,0,0,0,0,0,0,0,0,0
64,30,32,0,0,0,0,0,0,0,0,0
65,15,32,0,0,0,0,0,0,0,0,0
66,11,32,0,0,0,0,0,0,0,0,0
67,30,32,0,0,0,0,0,0,0,0,0
68,15,32,0,0,0,0,0,0,0,0,0
69,11,32,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0,0,0
72
1,28
1,20
1,5
2,29
2,6
3,42
3,40
3,30
3,21
3,15
3,12
3,10
3,8
4,37
4,26
4,25
4,18
8,9
12,13
13,14
15,16
18,19
20,23
21,22
22,23
23,24
24,25
26,27
27,36
28,35
29,32
30,31
31,32
32,33
33,34
34,35
35,36
37,38
40,41
41,42
45,67
45,64
45,61
45,58
45,55
45,52
45,49
45,47
45,46
47,48
48,50
49,50
50,51
51,53
52,53
53,54
54,56
55,56
56,57
57,59
58,59
59,60
60,62
61,62
62,63
63,65
64,65
65,66
66,68
67,68
68,69
69,70
