opcode,signed,bitwidth,lut,dsp,ff,latency
11,0,64,645,0,880,0
19,0,32,772,0,1412,29
19,0,32,768,0,1380,29
13,0,32,85,0,191,0
16,0,32,73,3,127,7
15,0,24,0,1,0,4
15,0,32,19,2,10,3
15,1,32,45,2,17,4
15,0,32,33,2,17,4
11,0,32,32,1,0,3
15,1,64,0,4,51,4
