solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution179,82,0,171,0,24,0,8.0,1.533,6.467,0.0,1567,2402.211
solution180,70,0,104,0,19,0,8.0,0.98,7.02,0.0,1871,1833.58
solution181,108,0,239,0,32,0,8.0,1.47,6.53,0.0,1784,2622.48
solution183,126,0,168,0,31,0,8.0,2.051,5.949,0.0,1467,3008.817
solution184,81,0,152,0,19,0,8.0,1.256,6.744,0.0,1222,1534.832
solution186,79,0,118,0,21,0,8.0,1.305,6.695,0.0,1984,2589.12
solution188,79,0,167,0,22,0,8.0,1.589,6.411,0.0,2080,3305.12
solution196,70,0,116,0,17,0,8.0,1.406,6.594,0.0,1219,1713.914
solution198,144,0,1060,0,111,0,8.0,1.352,6.648,0.0,3209,4338.568
solution200,157,0,341,0,47,0,8.0,1.278,6.722,0.0,2098,2681.244
