solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution175,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution179,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution180,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution181,193,0,244,0,43,0,8.0,1.448,6.552,0.0,2389,3459.272
solution182,183,0,187,0,41,0,8.0,2.186,5.814,0.0,1623,3547.8779999999997
solution187,187,0,222,0,41,0,8.0,1.36,6.64,0.0,1053,1432.0800000000002
solution189,189,0,223,0,49,0,8.0,1.669,6.331,0.0,1445,2411.705
solution190,146,0,171,0,33,0,8.0,1.685,6.315,0.0,1672,2817.32
solution192,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution193,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution194,144,0,164,0,32,0,8.0,1.631,6.369,0.0,1509,2461.179
solution196,182,0,169,0,40,0,8.0,1.743,6.257,0.0,1441,2511.663
solution198,172,0,195,0,49,0,8.0,1.888,6.112,0.0,703,1327.264
solution200,196,0,227,0,54,0,8.0,1.879,6.121,0.0,2035,3823.765
