opcode,signed,bitwidth,lut,dsp,ff,latency
13,1,18,8,1,0,3
13,1,18,8,1,0,3
13,1,18,8,1,0,3
15,0,17,7,1,0,2
15,0,17,7,1,0,2
15,0,17,0,1,0,2
